SMID	SphinGOMAP ID	Automatically found from structure ChEBI ID	Manually mapped ChEBI ID	Name	generated_glyconomenclature	Category	category_assigned	LBID	Common Name	References	Lucila’s comment	generic glycosphingolipid SMILES	match_automatic_and_manual_chebi
	1		83273.0	Cer									False
2.0	2	233569, 83264, 139517, 233567	83264.0	Glucosyl ceramide	GlcCer			GSG1141	glucocerebroside	Suzuki (1982), Nilsson & Svennerholm (1982)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)*	True
3.0	3	195546, 79208	79208.0	Lactosyl ceramide 	Galbeta1-4GlcCer			GSG1147	LacCer, Cytolipin H	Klenk & Rennkamp (1942)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
4.0	4	142587	142587.0	Lc3Cer	GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1201	LacOse3, Amino CTH	Macher & Klock (1980), Ando et al. (1976), Hu et al. (1994) (it is actually the root of several series)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
5.0	5	143593	143593.0	Galactosyl ceramide	GalCer			GSG1136	galactocerebroside	Thudichum (1884), Berg & Schachner (1982), Rapport et al. (1964)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(=O)*	True
6.0					Manbeta1-4GlcCer			GSG2001		Sugita et al. (1975, 1982, 1985, 1994), Itasaka et al. (1983), Itonori et al. (1992)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
7.0	7	88154	88154.0	Globoside Gb3Cer	Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1328	GbOse3, p^k antigen	Sweeley & Klionsky (1963), Handa et al. (1971), Vance & Sweeley (1967), Svennerholm & Svennerholm (1963), Koscielak et al. (1976), Hakomori et al. (1971), Clark et al. (1971), Hildebr& et al. (1971), Gahmberg & Hakomori (1975), Mapes et al. (1973)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
8.0	8	90800	90800.0	Lc4Cer/Ne4/LcOse4/LM1	Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1202	LcOse4, LM1, iso-LM1	Karlsson & Larson (1979), Fukuda et al. (1986) (Lc4)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
9.0	9	143594	143594.0	α-D-Gal-(1-4)-β-D-GalCer	Galalpha1-4GalCer	Gala		GSG1148	CDG, Galabiosylceramide	Handa et al. (1971), Miyatake & Ariga (1972), Mapes & Sweeley (1973)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
10.0					Manalpha1-3Manbeta1-4GlcCer	Mollu	Mollu	GSG2012		Itasaka et a. (1983), Sugita et al. (1985, 1981)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
