lm_id	inchi_key	smiles	obsolete_id	SP	SphingoMap ID	CHEBI
LMSP0601GH00			LMSP0601GJ00	True	365	
LMSP0505AC00				True	43	
LMSP0601GL00				True	401	
LMSP0505EO00				True	468	
LMSP0503AL00				True	312	
LMSP0601AL00				True	68	CHEBI:78438
LMSP0601AI00				True	406	
LMSP0508AC00				True	SphingoMap ID not found.	
LMSP0601AF00				True	135	
LMSP0504BT00				True	359	
LMSP0503AH00				True	298	
LMSP0502BH00				True	444	
LMSP0601GI00				True	371	
LMSP0507AA00				True	10	
LMSP0601FL00				True	259	
LMSP0505CE00				True	261	
LMSP0601BB00				True	85	
LMSP0504AM00				True	156	
LMSP0502BG00				True	443	
LMSP0502AF00				True	22	
LMSP0601DV00				True	164	
LMSP0502AR00				True	134	
LMSP0601FE00				True	249	
LMSP0502BD00				True	438	
LMSP0601AA00				True	13	CHEBI:27499
LMSP0505CX00				True	408	
LMSP0505AP00				True	57	
LMSP0601FR00				True	267	
LMSP0601AV00				True	78	CHEBI:27515
LMSP0505AA00				True	12	CHEBI:17006
LMSP0601ED00				True	40	
LMSP0601DE00				True	315	
LMSP0502AQ00				True	133	
LMSP0601DM00				True	147	
LMSP0601CG00				True	326	
LMSP0505CJ00				True	280	
LMSP0504AF00				True	35	
LMSP0601FH00				True	252	
LMSP0504BO00				True	193	
LMSP0601GS00				True	425	
LMSP0505ED00				True	457	
LMSP0505BA00				True	120	
LMSP0503AF00				True	296	
LMSP0505BN00				True	233	
LMSP0504AV00				True	174	
LMSP0601DF00				True	316	
LMSP0601EZ00				True	224	
LMSP0505BW00				True	242	
LMSP0601AD00				True	114	
LMSP0504AP00			LMSP0504BE00	True	159	
LMSP0601BO00				True	290	
LMSP0505CA00				True	246	
LMSP0601AB00				True	24	
LMSP0601CF00				True	324	
LMSP0505AR00				True	59	
LMSP0601ES00				True	215	
LMSP0601CU00				True	344	
LMSP0601FC00				True	228	
LMSP0601DK00				True	30	CHEBI:27817
LMSP0504BI00				True	187	
LMSP0505AY00				True	118	
LMSP0504BM00				True	191	
LMSP0601CH00				True	327	
LMSP0504BL00				True	190	
LMSP0601FI00				True	253	
LMSP0504AR00				True	165	
LMSP0601GQ00				True	420	
LMSP0502AC00				True	19	CHEBI:18056
LMSP02010000				True	SphingoMap ID not found.	CHEBI:52639
LMSP0602AI00				True	362	
LMSP0601CV00				True	345	
LMSP0504AW00				True	175	
LMSP0505EP00				True	469	
LMSP0601BM00				True	127	
LMSP0505AB00				True	39	CHEBI:77240
LMSP0601GK00				True	379	
LMSP0601BF00				True	90	
LMSP0504AE00				True	34	
LMSP0601BC00				True	86	
LMSP0506BE00				True	385	
LMSP0601CX00				True	347	
LMSP0505CU00				True	386	
LMSP0502BN00				True	450	
LMSP0601CM00				True	336	
LMSP0601FX00				True	283	
LMSP0504AT00				True	167	
LMSP0601EA00				True	358	
LMSP0601BI00				True	93	
LMSP0505AU00				True	62	
LMSP0503AM00				True	313	
LMSP0601GR00				True	423	
LMSP0505CO00				True	364	
LMSP0506AU00				True	373	
LMSP0505AI00				True	50	
LMSP0601CS00				True	342	
LMSP0601CR00				True	341	
LMSP0601AN00				True	70	CHEBI:79219
LMSP030100A0				True	SphingoMap ID not found.	CHEBI:67090
LMSP0506AY00				True	378	
LMSP03020000				True	SphingoMap ID not found.	CHEBI:73203
LMSP0601AX00				True	80	CHEBI:52602
LMSP0502BB00				True	414	
LMSP0505EC00				True	456	
LMSP0601FO00				True	264	
LMSP0506AD00			LMSP0505DU00	True	398	
LMSP0503AP00				True	331	
LMSP0505DY00				True	452	
LMSP0601AT00				True	76	CHEBI:28058
LMSP0505AS00				True	60	
LMSP0503AA00				True	17	CHEBI:27731
LMSP0601EP00				True	205	
LMSP0601ER00				True	212	
LMSP0505AL00				True	53	
LMSP0505BM00				True	232	
LMSP0505CV00				True	388	
LMSP0601FP00				True	265	
LMSP0505AK00				True	52	CHEBI:142448
LMSP0503AB00				True	81	CHEBI:27938
LMSP0601CO00				True	338	
LMSP020500A0				True	SphingoMap ID not found.	
LMSP0506AK00				True	424	
LMSP0505CG00				True	270	
LMSP0601DU00				True	162	
LMSP0502AB00				True	18	CHEBI:18259
LMSP0601GG00				True	391	
LMSP0601GT00				True	470	
LMSP0502AS00				True	138	
LMSP0601ET00				True	216	
LMSP0602AD00				True	325	
LMSP0601DQ00				True	151	
LMSP0502AP00				True	132	
LMSP02050000				True	SphingoMap ID not found.	CHEBI:16197
LMSP0504AN00				True	157	
LMSP0504AG00				True	36	
LMSP0601EE00				True	41	
LMSP0505BI00				True	214	
LMSP0509AA00				True	9	CHEBI:143595
LMSP0506AP00				True	434	
LMSP0601BU00				True	302	
LMSP0601EM00				True	201	
LMSP0601DD00				True	314	
LMSP0502BJ00				True	446	
LMSP0601AP00				True	72	CHEBI:18216
LMSP0506AS00				True	354	
LMSP0505AJ00				True	51	
LMSP0505CR00				True	368	
LMSP0601EY00				True	223	
LMSP0502AT00				True	139	
LMSP0505BH00				True	213	
LMSP0601EX00				True	222	
LMSP0504AA00				True	4	CHEBI:17103
LMSP0505AN00				True	55	
LMSP0505BK00				True	230	
LMSP0601GF00				True	390	
LMSP0602AH00				True	361	
LMSP0505DZ00				True	453	
LMSP0505BL00				True	231	
LMSP0504BJ00				True	188	
LMSP0601EJ00				True	66	
LMSP0601DL00				True	32	CHEBI:90092
LMSP0505BD00				True	123	
LMSP0601CK00				True	334	
LMSP0602AF00				True	387	
LMSP0504BN00				True	192	
LMSP0601DA00				True	402	
LMSP0506AL00				True	426	
LMSP0602AM00				True	350	
LMSP0505CS00				True	369	
LMSP0601CB00				True	319	
LMSP0601CJ00				True	333	
LMSP0601EB00				True	197	
LMSP0601AQ00				True	73	CHEBI:28175
LMSP0502AN00				True	112	
LMSP0505CH00				True	272	
LMSP0504BR00				True	209	
LMSP0601GV00				True	376	
LMSP0506BI00				True	395	
LMSP0601AM00				True	69	CHEBI:71502
LMSP0505EI00				True	462	
LMSP0506BG00				True	393	
LMSP0501AA00				True	2	CHEBI:22801
LMSP0601FV00				True	273	
LMSP0506AX00				True	377	
LMSP0602AB00				True	403	
LMSP0601BA00				True	84	
LMSP0601BX00				True	305	
LMSP0502BI00				True	445	
LMSP0602AG00				True	211	
LMSP0503AD00				True	292	
LMSP0502BM00				True	449	
LMSP0505EA00				True	454	
LMSP0505BF00				True	125	
LMSP0601BR00				True	299	
LMSP0601DH00				True	318	
LMSP0601DG00				True	317	
LMSP0601CI00				True	332	
LMSP0505CL00				True	284	
LMSP0602AP00				True	400	
LMSP0503AK00				True	311	
LMSP0504BP00				True	194	
LMSP0505CW00				True	407	
LMSP0508AA00				True	14	
LMSP0506AZ00				True	380	
LMSP0504AI00				True	38	
LMSP0501AD00				True	6	
LMSP0601AW00				True	79	CHEBI:27691
LMSP0506AJ00				True	422	
LMSP0505AZ00				True	119	
LMSP0601AH00				True	137	
LMSP0503AE00				True	295	
LMSP0505CC00				True	257	
LMSP0601BW00				True	304	
LMSP0503AG00				True	297	
LMSP0503AO00				True	330	
